season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 12:44:00+00,Chelsea,10,19,7,502,10846
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 13:04:00+00,North Station,11,0,502,0,10847
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,145,0,day_type_01,weekday,2024/01/01 13:35:00+00,North Station,1,53,0,53,10848
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,145,0,day_type_01,weekday,2024/01/01 13:46:00+00,Chelsea,2,9,0,62,10849
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,145,0,day_type_01,weekday,2024/01/01 13:55:00+00,Lynn,3,21,5,78,10850
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,145,0,day_type_01,weekday,2024/01/01 13:58:00+00,Swampscott,4,6,4,80,10851
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,145,0,day_type_01,weekday,2024/01/01 14:05:00+00,Salem,5,9,43,46,10852
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,145,0,day_type_01,weekday,2024/01/01 14:09:00+00,Beverly,6,3,15,34,10853
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,105,0,day_type_01,weekday,2024/01/01 14:28:00+00,Swampscott,4,7,4,30,10854
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,113,0,day_type_01,weekday,2024/01/01 20:40:00+00,Beverly,7,4,45,56,10855
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,121,0,day_type_01,weekday,2024/01/02 00:36:00+00,Lynn,4,0,0,76,10856
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2024/01/02 04:14:00+00,Swampscott,5,0,8,63,10857
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,117,0,day_type_01,weekday,2024/01/01 22:36:00+00,Salem,6,14,172,276,10858
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,113,0,day_type_01,weekday,2024/01/01 20:44:00+00,Montserrat,8,0,12,44,10859
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,105,0,day_type_01,weekday,2024/01/01 14:35:00+00,Salem,5,7,17,20,10860
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,121,0,day_type_01,weekday,2024/01/02 00:39:00+00,Swampscott,5,0,13,63,10861
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2024/01/02 04:21:00+00,Salem,6,1,27,37,10862
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2024/01/02 04:25:00+00,Beverly,7,0,21,16,10863
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,101,0,day_type_01,weekday,2024/01/01 12:10:00+00,Beverly,7,2,9,38,10864
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,117,0,day_type_01,weekday,2024/01/01 22:41:00+00,Beverly,7,4,124,156,10865
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2024/01/02 04:29:00+00,Montserrat,8,1,4,13,10866
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,113,0,day_type_01,weekday,2024/01/01 20:50:00+00,Beverly Farms,9,2,4,42,10867
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,109,0,day_type_01,weekday,2024/01/01 17:43:00+00,Montserrat,7,0,9,34,10868
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,105,0,day_type_01,weekday,2024/01/01 14:39:00+00,Beverly,6,7,5,22,10869
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,121,0,day_type_01,weekday,2024/01/02 00:46:00+00,Salem,6,1,37,27,10870
